% de avance general,Área,% de avance área,Nombre Iniciativa,Descripción Iniciativa,% de avance Iniciativa,Reporte de avance,Hitos,% asignado hitos,% de avance hitos,% de avance acumulado,N° de iniciativas,N° >80%,Contador (no considerar),N° Hito (no considerar),N° Área (no considerar),>80% (no considerar)
20%,8. Cultura,28%,Ampliar el proyecto de Museo a Cielo Abierto.,Pendiente,30%,Pendiente,Definición de contenidos artísticos y modelo de curatoría.,20%,0%,30%,109,1,,8.13,8,0
20%,8. Cultura,28%,Ampliar el proyecto de Museo a Cielo Abierto.,Pendiente,30%,Pendiente,Definición de espacios.,10%,0%,30%,109,1,,8.14,8,0
20%,8. Cultura,28%,Ampliar el proyecto de Museo a Cielo Abierto.,Pendiente,30%,Pendiente,Habilitación de espacio para galeria de arte y mantenimiento de murales,20%,0%,30%,109,1,,8.15,8,0
20%,8. Cultura,28%,Ampliar la ruta patrimonial comunal e intercomunal de manera regular.,Pendiente,50%,Pendiente,"Registro audiovisual para la elaboración de micro documentales para el proyecto ""Patrimonio Vivo""",10%,10%,10%,109,1,1,8.16,8,0
20%,8. Cultura,28%,Ampliar la ruta patrimonial comunal e intercomunal de manera regular.,Pendiente,50%,Pendiente,"Edición de documentales ""La ruta de la memoria""",10%,5%,15%,109,1,,8.17,8,0
20%,8. Cultura,28%,Ampliar la ruta patrimonial comunal e intercomunal de manera regular.,Pendiente,50%,Pendiente,"Estreno de documentales “La ruta de la memoria”, exhibición de documentales y conversatorios con las comunidades en torno a la historia de sus barrios",10%,5%,20%,109,1,,8.18,8,0
20%,8. Cultura,28%,Ampliar la ruta patrimonial comunal e intercomunal de manera regular.,Pendiente,50%,Pendiente,Instalación de señaléticas en Casa de Memoria Varas Mena,10%,10%,30%,109,1,,8.19,8,0
20%,8. Cultura,28%,Ampliar la ruta patrimonial comunal e intercomunal de manera regular.,Pendiente,50%,Pendiente,Apoyo a gestiones para declarar como Sitio de Memoria a Casa Anita González de Recabarren,10%,10%,40%,109,1,,8.20,8,0
20%,8. Cultura,28%,Ampliar la ruta patrimonial comunal e intercomunal de manera regular.,Pendiente,50%,Pendiente,Firma de convenio con 3 y 4 Álamos,10%,10%,50%,109,1,,8.21,8,0
20%,8. Cultura,28%,Ampliar la ruta patrimonial comunal e intercomunal de manera regular.,Pendiente,50%,Pendiente,Ejecución de la Ruta del Patrimonio y Memoria,20%,0%,50%,109,1,,8.22,8,0
20%,8. Cultura,28%,Ampliar la ruta patrimonial comunal e intercomunal de manera regular.,Pendiente,50%,Pendiente,Ampliación de rutas patrimoniales de manera regular,20%,0%,50%,109,1,,8.23,8,0
20%,8. Cultura,28%,Diseñar y ejecutar proyecto de biblioteca/espacio lector en el centro cultural.,Pendiente,0%,Pendiente,Pendiente,100%,0%,0%,109,1,1,8.24,8,0
20%,9. Fomento productivo y emprendimiento,8%,"Aumento en los talleres de comunicaciones para emprendedores, como creación de logos, manejo de redes sociales, entre otros.",Pendiente,0%,Pendiente,Difusión e inscripción de emprendedores beneficiados por los programas Creo en Ti y/o Capital Pyme.,15%,0%,0%,109,1,1,9.1,9,0
20%,9. Fomento productivo y emprendimiento,8%,"Aumento en los talleres de comunicaciones para emprendedores, como creación de logos, manejo de redes sociales, entre otros.",Pendiente,0%,Pendiente,Realización de taller de Marketing Digital para emprendedores.,25%,0%,0%,109,1,,9.2,9,0
20%,9. Fomento productivo y emprendimiento,8%,"Aumento en los talleres de comunicaciones para emprendedores, como creación de logos, manejo de redes sociales, entre otros.",Pendiente,0%,Pendiente,Realización de Taller de uso de herramientas de Inteligencia Artificial para emprendedores.,25%,0%,0%,109,1,,9.3,9,0
20%,9. Fomento productivo y emprendimiento,8%,"Aumento en los talleres de comunicaciones para emprendedores, como creación de logos, manejo de redes sociales, entre otros.",Pendiente,0%,Pendiente,Realización de taller de creación de logos para emprendedores.,25%,0%,0%,109,1,,9.4,9,0
20%,9. Fomento productivo y emprendimiento,8%,"Aumento en los talleres de comunicaciones para emprendedores, como creación de logos, manejo de redes sociales, entre otros.",Pendiente,0%,Pendiente,Evaluación de la iniciativa,10%,0%,0%,109,1,,9.5,9,0
20%,9. Fomento productivo y emprendimiento,8%,Ampliación del nuevo Centro de Trabajo (Co - Work) implementado el 2024.,Pendiente,30%,Pendiente,Diseño de proyecto y habilitación de Cowork en 2024,20%,20%,20%,109,1,1,9.6,9,0
20%,9. Fomento productivo y emprendimiento,8%,Ampliación del nuevo Centro de Trabajo (Co - Work) implementado el 2024.,Pendiente,30%,Pendiente,Presentación de proyecto a Gobierno Regional para la búsqueda activa de fondos,10%,5%,25%,109,1,,9.7,9,0
20%,9. Fomento productivo y emprendimiento,8%,Ampliación del nuevo Centro de Trabajo (Co - Work) implementado el 2024.,Pendiente,30%,Pendiente,Búsqueda activa de fondos para la presentación de proyectos dependiendo de la línea objetivo de cada fondo ,10%,5%,30%,109,1,,9.8,9,0
20%,9. Fomento productivo y emprendimiento,8%,Ampliación del nuevo Centro de Trabajo (Co - Work) implementado el 2024.,Pendiente,30%,Pendiente,Postulación a fondos para la obtención de ingresos y ejecución de licitación,10%,0%,30%,109,1,,9.9,9,0
20%,9. Fomento productivo y emprendimiento,8%,Ampliación del nuevo Centro de Trabajo (Co - Work) implementado el 2024.,Pendiente,30%,Pendiente,Licitacion de la ampliación,10%,0%,30%,109,1,,9.10,9,0
20%,9. Fomento productivo y emprendimiento,8%,Ampliación del nuevo Centro de Trabajo (Co - Work) implementado el 2024.,Pendiente,30%,Pendiente,Construcción de la ampliación,20%,0%,30%,109,1,,9.11,9,0
20%,9. Fomento productivo y emprendimiento,8%,Ampliación del nuevo Centro de Trabajo (Co - Work) implementado el 2024.,Pendiente,30%,Pendiente,Habilitación y puesta en marcha de la ampliación,20%,0%,30%,109,1,,9.12,9,0
20%,9. Fomento productivo y emprendimiento,8%,Incremento de recursos para programa Creo en ti.,Pendiente,0%,Pendiente,Pendiente,100%,0%,0%,109,1,1,9.13,9,0
20%,9. Fomento productivo y emprendimiento,8%,Incremento de recursos para programa capital PYME.,Pendiente,0%,Pendiente,Pendiente,100%,0%,0%,109,1,1,9.14,9,0
20%,10. Seguridad Comunitaria,12%,Aumentar de 156 a 356 unidades el sistema de cámaras de vigilancia con reconocimiento facial.,Pendiente,20%,Pendiente,Identificar sectores con mayor demanda de vigilancia y definir ubicación de nuevas cámaras.,5%,5%,5%,109,1,1,10.1,10,0
20%,10. Seguridad Comunitaria,12%,Aumentar de 156 a 356 unidades el sistema de cámaras de vigilancia con reconocimiento facial.,Pendiente,20%,Pendiente,Definición de características técnicas y solicitud de cotizaciones ,5%,3%,8%,109,1,,10.2,10,0
20%,10. Seguridad Comunitaria,12%,Aumentar de 156 a 356 unidades el sistema de cámaras de vigilancia con reconocimiento facial.,Pendiente,20%,Pendiente,Estudio de Análisis de oferta y demanda y Evaluación Social ,10%,7%,15%,109,1,,10.3,10,0
20%,10. Seguridad Comunitaria,12%,Aumentar de 156 a 356 unidades el sistema de cámaras de vigilancia con reconocimiento facial.,Pendiente,20%,Pendiente,"Elaboración de Especificaciones Técnicas, Planimetría, Presupuesto, Ingreso al Banco Integrado de Proyectos  ",10%,5%,20%,109,1,,10.4,10,0
20%,10. Seguridad Comunitaria,12%,Aumentar de 156 a 356 unidades el sistema de cámaras de vigilancia con reconocimiento facial.,Pendiente,20%,Pendiente,Ingreso al Gobierno Regional,10%,0%,20%,109,1,,10.5,10,0
20%,10. Seguridad Comunitaria,12%,Aumentar de 156 a 356 unidades el sistema de cámaras de vigilancia con reconocimiento facial.,Pendiente,20%,Pendiente,"Revisión Gobierno Regional, corrección de Observaciones y admisibilidad ",10%,0%,20%,109,1,,10.6,10,0
20%,10. Seguridad Comunitaria,12%,Aumentar de 156 a 356 unidades el sistema de cámaras de vigilancia con reconocimiento facial.,Pendiente,20%,Pendiente,Asignación de Recursos,5%,0%,20%,109,1,,10.7,10,0
20%,10. Seguridad Comunitaria,12%,Aumentar de 156 a 356 unidades el sistema de cámaras de vigilancia con reconocimiento facial.,Pendiente,20%,Pendiente,Tramitación administrativa del convenio y Decreto,5%,0%,20%,109,1,,10.8,10,0
20%,10. Seguridad Comunitaria,12%,Aumentar de 156 a 356 unidades el sistema de cámaras de vigilancia con reconocimiento facial.,Pendiente,20%,Pendiente,Elaboración de bases administrativas  y publicación de licitación para la adquisición de cámaras,10%,0%,20%,109,1,,10.9,10,0
20%,10. Seguridad Comunitaria,12%,Aumentar de 156 a 356 unidades el sistema de cámaras de vigilancia con reconocimiento facial.,Pendiente,20%,Pendiente,Adjudicación de licitación de las cámaras con reconocimiento facial.,10%,0%,20%,109,1,,10.10,10,0
20%,10. Seguridad Comunitaria,12%,Aumentar de 156 a 356 unidades el sistema de cámaras de vigilancia con reconocimiento facial.,Pendiente,20%,Pendiente,Instalación y recepción de las nuevas cámaras.,20%,0%,20%,109,1,,10.11,10,0
20%,10. Seguridad Comunitaria,12%,"Incorporar más camionetas de seguridad comunitaria y pasar de 13 a 21 (3 por territorio) y 14 destinadas a puntos fijos con un sistema de funcionamiento de 24 horas, con total de 35 vehículos operativos, con lo que tendríamos 150 inspectores de seguridad.",Pendiente,0%,Pendiente,Determinar fases de adquisición e implementación de los vehículos.,5%,0%,0%,109,1,1,10.12,10,0
20%,10. Seguridad Comunitaria,12%,"Incorporar más camionetas de seguridad comunitaria y pasar de 13 a 21 (3 por territorio) y 14 destinadas a puntos fijos con un sistema de funcionamiento de 24 horas, con total de 35 vehículos operativos, con lo que tendríamos 150 inspectores de seguridad.",Pendiente,0%,Pendiente,"Definir la capacidad, características y requerimientos técnicos de los vehículos.",10%,0%,0%,109,1,,10.13,10,0
20%,10. Seguridad Comunitaria,12%,"Incorporar más camionetas de seguridad comunitaria y pasar de 13 a 21 (3 por territorio) y 14 destinadas a puntos fijos con un sistema de funcionamiento de 24 horas, con total de 35 vehículos operativos, con lo que tendríamos 150 inspectores de seguridad.",Pendiente,0%,Pendiente,Solicitar cotizaciones de los vehículos,10%,0%,0%,109,1,,10.14,10,0
20%,10. Seguridad Comunitaria,12%,"Incorporar más camionetas de seguridad comunitaria y pasar de 13 a 21 (3 por territorio) y 14 destinadas a puntos fijos con un sistema de funcionamiento de 24 horas, con total de 35 vehículos operativos, con lo que tendríamos 150 inspectores de seguridad.",Pendiente,0%,Pendiente,Subir proyecto al Banco Integrado de Proyectos,5%,0%,0%,109,1,,10.15,10,0
20%,10. Seguridad Comunitaria,12%,"Incorporar más camionetas de seguridad comunitaria y pasar de 13 a 21 (3 por territorio) y 14 destinadas a puntos fijos con un sistema de funcionamiento de 24 horas, con total de 35 vehículos operativos, con lo que tendríamos 150 inspectores de seguridad.",Pendiente,0%,Pendiente,Presentación del proyecto ,20%,0%,0%,109,1,,10.16,10,0
20%,10. Seguridad Comunitaria,12%,"Incorporar más camionetas de seguridad comunitaria y pasar de 13 a 21 (3 por territorio) y 14 destinadas a puntos fijos con un sistema de funcionamiento de 24 horas, con total de 35 vehículos operativos, con lo que tendríamos 150 inspectores de seguridad.",Pendiente,0%,Pendiente,Admisibilidad del proyecto,10%,0%,0%,109,1,,10.17,10,0
20%,10. Seguridad Comunitaria,12%,"Incorporar más camionetas de seguridad comunitaria y pasar de 13 a 21 (3 por territorio) y 14 destinadas a puntos fijos con un sistema de funcionamiento de 24 horas, con total de 35 vehículos operativos, con lo que tendríamos 150 inspectores de seguridad.",Pendiente,0%,Pendiente,Asignación de recursos,10%,0%,0%,109,1,,10.18,10,0
20%,10. Seguridad Comunitaria,12%,"Incorporar más camionetas de seguridad comunitaria y pasar de 13 a 21 (3 por territorio) y 14 destinadas a puntos fijos con un sistema de funcionamiento de 24 horas, con total de 35 vehículos operativos, con lo que tendríamos 150 inspectores de seguridad.",Pendiente,0%,Pendiente,Publicación de las Bases Administrativas,15%,0%,0%,109,1,,10.19,10,0
20%,10. Seguridad Comunitaria,12%,"Incorporar más camionetas de seguridad comunitaria y pasar de 13 a 21 (3 por territorio) y 14 destinadas a puntos fijos con un sistema de funcionamiento de 24 horas, con total de 35 vehículos operativos, con lo que tendríamos 150 inspectores de seguridad.",Pendiente,0%,Pendiente,Adjudicación de los vehículos,15%,0%,0%,109,1,,10.20,10,0
20%,10. Seguridad Comunitaria,12%,Implementar 1.000 nuevas luminarias led.,Pendiente,27%,Pendiente,Identificar las zonas con mayor déficit de iluminación y definir puntos de instalación.,5%,5%,5%,109,1,1,10.21,10,0
20%,10. Seguridad Comunitaria,12%,Implementar 1.000 nuevas luminarias led.,Pendiente,27%,Pendiente,Definir fases y lotes de intervención según financiamiento y factibilidad.,10%,10%,15%,109,1,,10.22,10,0
20%,10. Seguridad Comunitaria,12%,Implementar 1.000 nuevas luminarias led.,Pendiente,27%,Pendiente,Elaborar los proyectos técnicos para la implementación de luminarias en sectores priorizados,15%,8%,23%,109,1,,10.23,10,0
20%,10. Seguridad Comunitaria,12%,Implementar 1.000 nuevas luminarias led.,Pendiente,27%,Pendiente,Gestionar recursos y postular proyectos a financiamiento externo.,15%,4%,27%,109,1,,10.24,10,0
20%,10. Seguridad Comunitaria,12%,Implementar 1.000 nuevas luminarias led.,Pendiente,27%,Pendiente,Admisibilidad del proyecto,5%,0%,27%,109,1,,10.25,10,0
20%,10. Seguridad Comunitaria,12%,Implementar 1.000 nuevas luminarias led.,Pendiente,27%,Pendiente,Asignación de recursos,10%,0%,27%,109,1,,10.26,10,0
20%,10. Seguridad Comunitaria,12%,Implementar 1.000 nuevas luminarias led.,Pendiente,27%,Pendiente,Elaborar y publicar bases administrativas para la implementación de luminarias.,15%,0%,27%,109,1,,10.27,10,0
20%,10. Seguridad Comunitaria,12%,Implementar 1.000 nuevas luminarias led.,Pendiente,27%,Pendiente,Adjudicación de la licitación para la implementación de luminarias,15%,0%,27%,109,1,,10.28,10,0
20%,10. Seguridad Comunitaria,12%,Implementar 1.000 nuevas luminarias led.,Pendiente,27%,Pendiente,"Instalación, ejecución y recepción de las luminarias",10%,0%,27%,109,1,,10.29,10,0
20%,10. Seguridad Comunitaria,12%,"Implementaremos una alarma en cada casa, para llegar al 100% de los hogares de la comuna.",Pendiente,5%,Pendiente,Pendiente,100%,5%,5%,109,1,1,10.30,10,0
20%,10. Seguridad Comunitaria,12%,Aumentar fiscalización a grandes empresas.,Pendiente,30%,Pendiente,"Coordinar fiscalizaciones y seguimiento a listado enviado por SII (actividades nuevas), por lo menos 2 veces al mes",15%,5%,5%,109,1,1,10.31,10,0
20%,10. Seguridad Comunitaria,12%,Aumentar fiscalización a grandes empresas.,Pendiente,30%,Pendiente,Coordinar fiscalizacion a giro bodegas,15%,5%,10%,109,1,,10.32,10,0
20%,10. Seguridad Comunitaria,12%,Aumentar fiscalización a grandes empresas.,Pendiente,30%,Pendiente,Coordinar fiscalizaciones a empresas con excedentes de basura,15%,5%,15%,109,1,,10.33,10,0
20%,10. Seguridad Comunitaria,12%,Aumentar fiscalización a grandes empresas.,Pendiente,30%,Pendiente,Coordinar fiscalizaciones a patentes de empresas con deudas,15%,5%,20%,109,1,,10.34,10,0
20%,10. Seguridad Comunitaria,12%,Aumentar fiscalización a grandes empresas.,Pendiente,30%,Pendiente,Coordinar fiscalizaciones a actividades lucrativas de riesgo para la comunidad,15%,5%,25%,109,1,,10.35,10,0
20%,10. Seguridad Comunitaria,12%,Aumentar fiscalización a grandes empresas.,Pendiente,30%,Pendiente,Coordinar fiscalizaciones a patentes provisorias vencidas.,15%,5%,30%,109,1,,10.36,10,0
20%,10. Seguridad Comunitaria,12%,Aumentar fiscalización a grandes empresas.,Pendiente,30%,Pendiente,Evaluacion a fiscalizacion a grandes empresas,10%,0%,30%,109,1,,10.37,10,0
20%,10. Seguridad Comunitaria,12%,Plan permanente de vigilancia aérea (implementación de drones de capacidad de lectura de patentes).,Pendiente,0%,Pendiente,Cotización para compra de Dron,10%,0%,0%,109,1,1,10.38,10,0
20%,10. Seguridad Comunitaria,12%,Plan permanente de vigilancia aérea (implementación de drones de capacidad de lectura de patentes).,Pendiente,0%,Pendiente,Realizar y presentar proyecto al Gobierno Regional ,20%,0%,0%,109,1,,10.39,10,0
20%,10. Seguridad Comunitaria,12%,Plan permanente de vigilancia aérea (implementación de drones de capacidad de lectura de patentes).,Pendiente,0%,Pendiente,Evaluación de integrar sistema de lectura de placa patente,10%,0%,0%,109,1,,10.40,10,0
20%,10. Seguridad Comunitaria,12%,Plan permanente de vigilancia aérea (implementación de drones de capacidad de lectura de patentes).,Pendiente,0%,Pendiente,Contratación de pilotos del Dron,20%,0%,0%,109,1,,10.41,10,0
20%,10. Seguridad Comunitaria,12%,Plan permanente de vigilancia aérea (implementación de drones de capacidad de lectura de patentes).,Pendiente,0%,Pendiente,Adjudicación del proyecto,20%,0%,0%,109,1,,10.42,10,0
20%,10. Seguridad Comunitaria,12%,Plan permanente de vigilancia aérea (implementación de drones de capacidad de lectura de patentes).,Pendiente,0%,Pendiente,Adquisición de drones,10%,0%,0%,109,1,,10.43,10,0
20%,10. Seguridad Comunitaria,12%,Plan permanente de vigilancia aérea (implementación de drones de capacidad de lectura de patentes).,Pendiente,0%,Pendiente,Inscribir el Dron en la Dirección General de Aeronáutica Civil,5%,0%,0%,109,1,,10.44,10,0
20%,10. Seguridad Comunitaria,12%,Plan permanente de vigilancia aérea (implementación de drones de capacidad de lectura de patentes).,Pendiente,0%,Pendiente,Contratación del Seguro del Dron e implementación,5%,0%,0%,109,1,,10.45,10,0
20%,10. Seguridad Comunitaria,12%,"Ampliar oficina de atención a víctimas de delitos para ayudar a vecinos y vecinas y, con ello, perseguir con más fuerza a los delincuentes.",Pendiente,10%,Pendiente,"Presentar el proyecto a la Subsecretaría de Prevención del Delito, con estadísticas propias",10%,5%,5%,109,1,1,10.46,10,0
20%,10. Seguridad Comunitaria,12%,"Ampliar oficina de atención a víctimas de delitos para ayudar a vecinos y vecinas y, con ello, perseguir con más fuerza a los delincuentes.",Pendiente,10%,Pendiente,"Evaluar, renovar  y contratar a personal del programa ",20%,5%,10%,109,1,,10.47,10,0
20%,10. Seguridad Comunitaria,12%,"Ampliar oficina de atención a víctimas de delitos para ayudar a vecinos y vecinas y, con ello, perseguir con más fuerza a los delincuentes.",Pendiente,10%,Pendiente,Realizar plan de Trabajo 2025 - 2026,30%,0%,10%,109,1,,10.48,10,0
20%,10. Seguridad Comunitaria,12%,"Ampliar oficina de atención a víctimas de delitos para ayudar a vecinos y vecinas y, con ello, perseguir con más fuerza a los delincuentes.",Pendiente,10%,Pendiente,Implementación del plan de Trabajo,20%,0%,10%,109,1,,10.49,10,0
20%,10. Seguridad Comunitaria,12%,"Ampliar oficina de atención a víctimas de delitos para ayudar a vecinos y vecinas y, con ello, perseguir con más fuerza a los delincuentes.",Pendiente,10%,Pendiente,Evaluación del Plan de Trabajo,10%,0%,10%,109,1,,10.50,10,0
20%,10. Seguridad Comunitaria,12%,"Ampliar oficina de atención a víctimas de delitos para ayudar a vecinos y vecinas y, con ello, perseguir con más fuerza a los delincuentes.",Pendiente,10%,Pendiente,Termino del proyecto,10%,0%,10%,109,1,,10.51,10,0
20%,10. Seguridad Comunitaria,12%,Implementar una App de S.O.S. para asistir a víctimas de delitos.,Pendiente,5%,Pendiente,Realizar búsqueda y cotización del sistema,10%,5%,5%,109,1,1,10.52,10,0
20%,10. Seguridad Comunitaria,12%,Implementar una App de S.O.S. para asistir a víctimas de delitos.,Pendiente,5%,Pendiente,Realizar el levantamiento de la licitación,20%,0%,5%,109,1,,10.53,10,0
20%,10. Seguridad Comunitaria,12%,Implementar una App de S.O.S. para asistir a víctimas de delitos.,Pendiente,5%,Pendiente,Realizar adjudicación de la licitación,10%,0%,5%,109,1,,10.54,10,0
20%,10. Seguridad Comunitaria,12%,Implementar una App de S.O.S. para asistir a víctimas de delitos.,Pendiente,5%,Pendiente,Implementación (marcha blanca),20%,0%,5%,109,1,,10.55,10,0
20%,10. Seguridad Comunitaria,12%,Implementar una App de S.O.S. para asistir a víctimas de delitos.,Pendiente,5%,Pendiente,Difusión y presentación masiva de la App,20%,0%,5%,109,1,,10.56,10,0
20%,10. Seguridad Comunitaria,12%,Implementar una App de S.O.S. para asistir a víctimas de delitos.,Pendiente,5%,Pendiente,Evaluación del sistema,20%,0%,5%,109,1,,10.57,10,0
20%,10. Seguridad Comunitaria,12%,"Generar más espacios de coordinación entre juntas de vecinos, comités de seguridad y seguridad comunitaria por territorio.",Pendiente,10%,Pendiente,"Coordinar de forma interna fecha, horarios y lugares por territorio",10%,10%,10%,109,1,1,10.58,10,0
20%,10. Seguridad Comunitaria,12%,"Generar más espacios de coordinación entre juntas de vecinos, comités de seguridad y seguridad comunitaria por territorio.",Pendiente,10%,Pendiente,Realizar convocatoria a los Comité de Seguridad por fecha y territorio,20%,0%,10%,109,1,,10.59,10,0
20%,10. Seguridad Comunitaria,12%,"Generar más espacios de coordinación entre juntas de vecinos, comités de seguridad y seguridad comunitaria por territorio.",Pendiente,10%,Pendiente,Ejecución de mesa de trabajo con los Comité de Seguridad por territorio,20%,0%,10%,109,1,,10.60,10,0
20%,10. Seguridad Comunitaria,12%,"Generar más espacios de coordinación entre juntas de vecinos, comités de seguridad y seguridad comunitaria por territorio.",Pendiente,10%,Pendiente,Coordinar tareas y responsable con cada Comité de Seguridad,20%,0%,10%,109,1,,10.61,10,0
20%,10. Seguridad Comunitaria,12%,"Generar más espacios de coordinación entre juntas de vecinos, comités de seguridad y seguridad comunitaria por territorio.",Pendiente,10%,Pendiente,Levantar requerimientos de los Comité de Seguridad a DSC,20%,0%,10%,109,1,,10.62,10,0
20%,10. Seguridad Comunitaria,12%,"Generar más espacios de coordinación entre juntas de vecinos, comités de seguridad y seguridad comunitaria por territorio.",Pendiente,10%,Pendiente,Seguimientos de tareas asignada,10%,0%,10%,109,1,,10.63,10,0
20%,11. Medio Ambiente y cambio climático,17%,Fiscalización de microbasurales con cámaras de televigilancia 24/7 y parte empadronado.,Pendiente,20%,Pendiente,Realizar un levantamiento de los microbasurales,20%,20%,20%,109,1,1,11.1,11,0
20%,11. Medio Ambiente y cambio climático,17%,Fiscalización de microbasurales con cámaras de televigilancia 24/7 y parte empadronado.,Pendiente,20%,Pendiente,Instalar señaléticas indicando parte empadronado por cámara de televigilancia,20%,0%,20%,109,1,,11.2,11,0
20%,11. Medio Ambiente y cambio climático,17%,Fiscalización de microbasurales con cámaras de televigilancia 24/7 y parte empadronado.,Pendiente,20%,Pendiente,Implementar partes empadronados en lugares en donde se encuentren cámaras,30%,0%,20%,109,1,,11.3,11,0
20%,11. Medio Ambiente y cambio climático,17%,Fiscalización de microbasurales con cámaras de televigilancia 24/7 y parte empadronado.,Pendiente,20%,Pendiente,Evaluación de los sitios donde se encuentran o faltan cámaras de televigilancia,20%,0%,20%,109,1,,11.4,11,0
20%,11. Medio Ambiente y cambio climático,17%,Fiscalización de microbasurales con cámaras de televigilancia 24/7 y parte empadronado.,Pendiente,20%,Pendiente,Evaluación de las acciones realizadas,10%,0%,20%,109,1,,11.5,11,0
20%,11. Medio Ambiente y cambio climático,17%,Entregar basureros para residuos domiciliarios,Pendiente,20%,Pendiente,Identificar sectores con mayor demanda y definir cantidad de basureros por zona.,5%,0%,0%,109,1,1,11.6,11,0
20%,11. Medio Ambiente y cambio climático,17%,Entregar basureros para residuos domiciliarios,Pendiente,20%,Pendiente,Definir el modelo de entrega (universal o focalizada) y la logística de distribución. ,5%,5%,5%,109,1,,11.7,11,0
20%,11. Medio Ambiente y cambio climático,17%,Entregar basureros para residuos domiciliarios,Pendiente,20%,Pendiente,Gestionar recursos municipales y evaluar modalidad de financiamiento (público o privado),20%,5%,10%,109,1,,11.8,11,0
20%,11. Medio Ambiente y cambio climático,17%,Entregar basureros para residuos domiciliarios,Pendiente,20%,Pendiente,"Determinar tipo de basureros (capacidad, material, sistema de cierre, reciclaje, etc.). ",10%,10%,20%,109,1,,11.9,11,0
20%,11. Medio Ambiente y cambio climático,17%,Entregar basureros para residuos domiciliarios,Pendiente,20%,Pendiente,Elaboración de convenios con empresas para entrega de basureros para residuos,20%,0%,20%,109,1,,11.10,11,0
20%,11. Medio Ambiente y cambio climático,17%,Entregar basureros para residuos domiciliarios,Pendiente,20%,Pendiente,"Entrega de los basureros en los sectores priorizados, asegurando cobertura equitativa. ",30%,0%,20%,109,1,,11.11,11,0
20%,11. Medio Ambiente y cambio climático,17%,Entregar basureros para residuos domiciliarios,Pendiente,20%,Pendiente,Seguimiento al retiro de residuos y evaluación de la iniciativa,10%,0%,20%,109,1,,11.12,11,0
20%,11. Medio Ambiente y cambio climático,17%,Potenciar programa de Reforestación Participativa (4 jornadas de plantación masiva al año).,Pendiente,35%,Pendiente,Diseño metodológico del programa,10%,10%,10%,109,1,1,11.13,11,0
20%,11. Medio Ambiente y cambio climático,17%,Potenciar programa de Reforestación Participativa (4 jornadas de plantación masiva al año).,Pendiente,35%,Pendiente,Designación de sitios de plantación,10%,5%,15%,109,1,,11.14,11,0
20%,11. Medio Ambiente y cambio climático,17%,Potenciar programa de Reforestación Participativa (4 jornadas de plantación masiva al año).,Pendiente,35%,Pendiente,Compra de insumos agropecuarios y forestales,20%,5%,20%,109,1,,11.15,11,0
20%,11. Medio Ambiente y cambio climático,17%,Potenciar programa de Reforestación Participativa (4 jornadas de plantación masiva al año).,Pendiente,35%,Pendiente,Preparación del terreno para actividades,20%,5%,25%,109,1,,11.16,11,0
20%,11. Medio Ambiente y cambio climático,17%,Potenciar programa de Reforestación Participativa (4 jornadas de plantación masiva al año).,Pendiente,35%,Pendiente,Ejecución de la plantación,30%,8%,33%,109,1,,11.17,11,0
20%,11. Medio Ambiente y cambio climático,17%,Potenciar programa de Reforestación Participativa (4 jornadas de plantación masiva al año).,Pendiente,35%,Pendiente,Mantención de sitios reforestados y evaluación de iniciativa,10%,2%,35%,109,1,,11.18,11,0
20%,11. Medio Ambiente y cambio climático,17%,Aumentar programa Apadrina Tu Árbol.,Pendiente,30%,Pendiente,Recepción de solicitudes,5%,5%,5%,109,1,1,11.19,11,0
20%,11. Medio Ambiente y cambio climático,17%,Aumentar programa Apadrina Tu Árbol.,Pendiente,30%,Pendiente,Compra de insumos agropecuarios y forestales,30%,25%,30%,109,1,,11.20,11,0
20%,11. Medio Ambiente y cambio climático,17%,Aumentar programa Apadrina Tu Árbol.,Pendiente,30%,Pendiente,Evaluación de solicitudes,25%,0%,30%,109,1,,11.21,11,0
20%,11. Medio Ambiente y cambio climático,17%,Aumentar programa Apadrina Tu Árbol.,Pendiente,30%,Pendiente,Ejecución de plantación,30%,0%,30%,109,1,,11.22,11,0
20%,11. Medio Ambiente y cambio climático,17%,Aumentar programa Apadrina Tu Árbol.,Pendiente,30%,Pendiente,Seguimiento de la plantación y evaluación de iniciativa,10%,0%,30%,109,1,,11.23,11,0
20%,11. Medio Ambiente y cambio climático,17%,"Plantar 4.000 árboles, llegando a un déficit 0 de árboles.",Pendiente,36%,Pendiente,Diseño de matriz de especies para plantar,10%,10%,10%,109,1,1,11.24,11,0
20%,11. Medio Ambiente y cambio climático,17%,"Plantar 4.000 árboles, llegando a un déficit 0 de árboles.",Pendiente,36%,Pendiente,Compra de insumos agropecuarios y forestales,20%,5%,15%,109,1,,11.25,11,0
20%,11. Medio Ambiente y cambio climático,17%,"Plantar 4.000 árboles, llegando a un déficit 0 de árboles.",Pendiente,36%,Pendiente,Designación de sitios de plantación,10%,5%,20%,109,1,,11.26,11,0
20%,11. Medio Ambiente y cambio climático,17%,"Plantar 4.000 árboles, llegando a un déficit 0 de árboles.",Pendiente,36%,Pendiente,Plantación de árboles,50%,13%,33%,109,1,,11.27,11,0
